Comment,Designator,Footprint,LCSC
Conn_01x02,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
100 uF,C26,C_0805_2012Metric,C141660
SW_DIP_x02,"SW1,SW2",CK_Components-TDA02H0SB1-MFG,C221982
Conn_01x08,"J1,J7",Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical,C240845
10K,"R5,R6",R_0402_1005Metric,C25744
200,"R1,R10,R2,R3,R4,R7,R8,R9",R_0402_1005Metric,C2692738
22 uF,C7,C_0603_1608Metric,C2762594
4.7 uF,"C8,C9",C_0402_1005Metric,C368809
TPS62222DDCT,"U1,U2",SOT-23-5,C398347
10 uF,"C11,C12,C19",C_0402_1005Metric,C466623
LM2775DSG,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,C473361
Antenna_Chip,AE1,TDK ANT162442ST-1201AM1,C5119334
BSS138,"Q1,Q2",SOT-23,C52895
GDZ5V1LP3-7,"D1,D2,D3,D4",D_0402_1005Metric,C531176
0.1 uF,"C15,C16,C18,C21,C24",C_0402_1005Metric,C60474
0,"R11,R12",R_0402_1005Metric,C60485
3.3 uF,"C1,C33,C34,C4,C5,C6",C_0402_1005Metric,C694161
1 uF,"C13,C14,C17,C20,C22,C23,C25",C_0402_1005Metric,C77009
100K,"R17,R18,R19,R20",R_0402_1005Metric,C852472
through_hole,J11,through_hole,
TestPoint,TP1,through_hole,
NP,C3,C_0603_1608Metric,
through_hole,J8,through_hole,
NP,C30,C_0402_1005Metric,
TestPoint,TP3,through_hole,
NP,C2,C_0603_1608Metric,
NP,C31,C_0402_1005Metric,
through_hole,J20,through_hole,
scum3,U5,QFN-100_EP_12x12_Pitch0.4mm_Margin0.25mm,
through_hole,J4,through_hole,
4.7 uH,L2,L_Wuerth_MAPI-2010,
TestPoint,TP2,through_hole,
through_hole,J5,through_hole,
NP,R14,R_0402_1005Metric,
NP,L1,L_0603_1608Metric,
NP,C29,C_0402_1005Metric,
NP,C28,C_0402_1005Metric,
through_hole,J6,through_hole,
NP,C27,C_0402_1005Metric,
ADS1299_TQFP-64,U4,TQFP-64_10x10mm_P0.5mm,
22 uF,C10,C_0603_1608Metric,
0 Ohm,R13,R_0402_1005Metric,
through_hole,J16,through_hole,
0 Ohm,RZ1,R_0402_1005Metric,
392K,R16,R_0603_1608Metric,
4.99K,R15,R_0603_1608Metric,
0 Ohm,RZ15,R_0402_1005Metric,
Conn_02x06_Odd_Even,J9,PinHeader_2x06_P2.54mm_Vertical_SMD,
4.7 uH,L3,L_Wuerth_MAPI-2010,
0.01uF,C32,C_0603_1608Metric,
TestPoint,TP4,through_hole,
NP,RZ2,R_0402_1005Metric,
