Comment,Designator,Footprint,LCSC
0.01uF,C32,C_0603_1608Metric,C115056
RFANT3216120A5T,AE1,C_1206_3216Metric,C127629
Conn_01x02,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
100 uF,C26,C_0805_2012Metric,C141660
0.5 pF,C2,C_0603_1608Metric,C1633
0,R27,R_0603_1608Metric,C21189
SW_DIP_x02,"SW1,SW2",CK_Components-TDA02H0SB1-MFG,C221982
4.99K,R15,R_0603_1608Metric,C23046
Conn_01x08,"J1,J7",Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical,C240845
1,"R24,R26",R_0402_1005Metric,C25086
10K,"R5,R6",R_0402_1005Metric,C25744
Conn_02x06_Odd_Even,J9,PinHeader_2x06_P2.54mm_Vertical_SMD,C2685123
200,"R1,R10,R2,R3,R4,R7,R8,R9",R_0402_1005Metric,C2692738
LP2951-5.0_WSON,"U6,U7",WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm,C2876162
6.7 nH,L2,L_0603_1608Metric,C316375
4.7 uF,"C39,C8",C_0402_1005Metric,C368809
10 uF,"C11,C12,C19",C_0402_1005Metric,C466623
LM2775DSG,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,C473361
BSS138,"Q1,Q2",SOT-23,C52895
GDZ5V1LP3-7,"D1,D2,D3,D4",D_0402_1005Metric,C531176
0.1 uF,"C15,C16,C18,C21,C24",C_0402_1005Metric,C60474
0,"R11,R12,R13,RZ1,RZ15",R_0402_1005Metric,C60485
3.3 uF,"C1,C33,C34,C4,C5,C6",C_0402_1005Metric,C694161
1 uF,"C13,C14,C17,C20,C22,C23,C25,C38,C7",C_0402_1005Metric,C77009
100K,"R17,R18,R19,R20,R23,R25",R_0402_1005Metric,C852472
46K,"R21,R22",R_0402_1005Metric,C852797
392K,R16,R_0603_1608Metric,C861366
through_hole,J11,through_hole,
TestPoint,TP1,through_hole,
NP,C3,C_0603_1608Metric,
through_hole,J8,through_hole,
NP,C30,C_0402_1005Metric,
TestPoint,TP3,through_hole,
NP,C31,C_0402_1005Metric,
through_hole,J20,through_hole,
scum3,U5,QFN-100_EP_12x12_Pitch0.4mm_Margin0.25mm,
through_hole,J4,through_hole,
TestPoint,TP2,through_hole,
through_hole,J5,through_hole,
NP,R14,R_0402_1005Metric,
NP,C29,C_0402_1005Metric,
NP,C28,C_0402_1005Metric,
through_hole,J6,through_hole,
NP,C27,C_0402_1005Metric,
ADS1299_TQFP-64,U4,TQFP-64_10x10mm_P0.5mm,
through_hole,J16,through_hole,
TestPoint,TP4,through_hole,
NP,RZ2,R_0402_1005Metric,
